start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 50989f1b1dbf9d412a000004, 5ae781995377fcb4d6052cd9cd537da886f14e14, , BlockBreak, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, 5ae781995377fcb4d6052cd9cd537da886f14e14, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, 614d8baf455d406f73507596babcd0dffedc79f3, , BlockBreak, COBBLESTONE,1
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, , BlockBreak, DIRT,1
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, 5a615a44b08fe408d5f82548187407fb1bb95efb, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 616b988b89e406089f2f8b8b35930301b1873325, d2efb2b5cb2c5b93bdcef8c2a475e8f11ac8a201, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, 7a270200a8dedc216cad2c40c17c97f208dc1d87, , BlockBreak, COAL_ORE,1
40320,40321, 50989f1b1dbf9d412a000004, 7a270200a8dedc216cad2c40c17c97f208dc1d87, , BlockPlace, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, 7a270200a8dedc216cad2c40c17c97f208dc1d87, , Kicks, ,1
40320,40321, 50989f1b1dbf9d412a000004, 7a270200a8dedc216cad2c40c17c97f208dc1d87, , Logins, America/Edmonton,1
40320,40321, 50989f1b1dbf9d412a000004, 7cf6b3b5dbbecc83800633a8304b1ebda655aace, , BlockBreak, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, 82af578f7a1420afd84f1153263c0c83a9765bfb, , Logins, America/Rainy_River,1
40320,40321, 50989f1b1dbf9d412a000004, 8d37f6ffb2853dfd01f3e10ef78ef2d318ed79fc, , BlockBreak, IRON_ORE,1
40320,40321, 50989f1b1dbf9d412a000004, 8d37f6ffb2853dfd01f3e10ef78ef2d318ed79fc, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, 9228a0d3fea1fc4d2aab481d9d4436b3125fdbc4, , Death, ,1
